Ultimo Nome;Primeiro Nome;Email;Nivel;Matricula;;;
Johnson;Alice;alice.johnson@example.com;5;M12345;;;
Smith;Bob;bob.smith@example.com;4;M67890;;;
Brown;Charlie;charlie.brown@example.com;6;M23456;;;
Miller;David;david.miller@example.com;6;M78901;;;
Davis;Emma;emma.davis@example.com;7;M34567;;;
Wilson;Frank;frank.wilson@example.com;8;M89012;;;
Martinez;Grace;grace.martinez@example.com;3;M45678;;;
Anderson;Henry;henry.anderson@example.com;5;M90123;;;
Thompson;Isabella;isabella.thompson@example.com;8;M56789;;;
Harris;Jack;jack.harris@example.com;1;M12345;;;
Moore;Kelly;kelly.moore@example.com;2;M67890;;;
Taylor;Liam;liam.taylor@example.com;3;M23456;;;
Jackson;Mia;mia.jackson@example.com;4;M78901;;;
White;Noah;noah.white@example.com;6;M34567;;;
Garcia;Olivia;olivia.garcia@example.com;7;M89012;;;
Robinson;Peter;peter.robinson@example.com;5;M45678;;;
Clark;Quinn;quinn.clark@example.com;8;M90123;;;
Lewis;Rachel;rachel.lewis@example.com;8;M56789;;;
Lee;Samuel;samuel.lee@example.com;7;M12345;;;
Hall;Taylor;taylor.hall@example.com;6;M67890;;;
